FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
19.0,04-15-2020,IA,42.0115,-93.2105,1995,53,758.1524569840345,2.656641604010025
20.0,04-15-2020,KS,38.5266,-96.7265,1504,73,601.5202863413722,4.85372340425532
21.0,04-15-2020,KY,37.6681,-84.6701,2210,115,809.0724075549258,5.203619909502263
22.0,04-15-2020,LA,31.1695,-91.8678,21951,1103,2652.1850160508443,5.024828026058039
23.0,04-15-2020,ME,44.6939,-69.3819,770,24,1264.5591249107756,3.116883116883117
24.0,04-15-2020,MD,39.0639,-76.8021,10032,311,938.244268579846,3.100079744816587
25.0,04-15-2020,MA,42.2302,-71.5301,29918,1108,1923.475896343876,3.7034561133765616
26.0,04-15-2020,MI,43.3266,-84.5361,28059,1921,1125.8200593202755,6.846288178481058
27.0,04-15-2020,MN,45.6945,-93.9002,1809,87,813.5538121714055,4.8092868988391375
28.0,04-15-2020,MS,32.7416,-89.6787,3360,122,1317.7300682576645,3.630952380952381
29.0,04-15-2020,MO,38.4561,-92.2884,4876,154,836.4599034449615,3.158326497128794
30.0,04-15-2020,MT,46.9219,-110.4544,404,7,1106.5985979004304,1.7326732673267329
31.0,04-15-2020,NE,41.1254,-98.2681,901,20,768.9775987496,2.2197558268590454
32.0,04-15-2020,NV,38.3135,-117.0554,3211,131,916.7311135324496,4.07972594207412
33.0,04-15-2020,NH,43.4525,-71.5639,1139,32,918.062735390094,2.809482001755926
34.0,04-15-2020,NJ,40.2989,-74.521,71030,3156,1621.458221452142,4.443193017035056
35.0,04-15-2020,NM,34.8405,-106.2485,1484,36,1969.976006471836,2.425876010781672
36.0,04-15-2020,NY,42.1657,-74.9481,214454,11569,3119.6917150647723,5.394630083840823
37.0,04-15-2020,NC,35.6301,-79.8064,5340,130,683.8864172012654,2.4344569288389515
38.0,04-15-2020,ND,47.5289,-99.784,392,9,1866.2044992068177,2.4657534246575343
39.0,04-15-2020,OH,40.3888,-82.7649,7794,470,640.3516779340354,6.03027970233513
40.0,04-15-2020,OK,35.5653,-96.9289,2263,123,798.8497482252188,5.435262925320371
41.0,04-15-2020,OR,44.572,-122.0709,1663,58,832.3030720171377,3.4876728803367407
42.0,04-15-2020,PA,40.5908,-77.2098,26841,803,1093.0211145234036,2.991691814761
44.0,04-15-2020,RI,41.6809,-71.5118,3251,125,2444.586878316268,3.844970778222085
45.0,04-15-2020,SC,33.8569,-80.945,3656,106,689.1502438008125,2.899343544857768
46.0,04-15-2020,SD,44.2998,-99.4388,1168,6,1339.7346349736104,0.5136986301369864
47.0,04-15-2020,TN,35.7478,-86.6923,6051,135,1232.2448574843688,2.2310361923648983
48.0,04-15-2020,TX,31.0545,-97.5635,11798,406,660.4868372295647,3.4412612307170707
49.0,04-15-2020,UT,40.15,-111.8624,2548,20,1661.408250583939,0.7849293563579278
50.0,04-15-2020,VT,44.0459,-72.7107,759,29,1814.7991044741896,3.820816864295125
51.0,04-15-2020,VA,37.7693,-78.17,6500,195,558.5900498657558,3.0
53.0,04-15-2020,WA,47.4009,-121.4905,10942,609,1627.333975944853,5.565710107841345
54.0,04-15-2020,WV,38.4912,-80.9545,702,10,1334.5447234236185,1.4245014245014245
55.0,04-15-2020,WI,44.2685,-89.6165,3721,183,7.9423828591273e-08,4.918032786885246
56.0,04-15-2020,WY,42.756,-107.3025,287,1,1272.8259995173355,0.3484320557491289
1.0,04-16-2020,AL,32.3182,-86.9023,4465,133,1506.73490802407,2.978723404255319
2.0,04-16-2020,AK,61.3707,-152.4044,300,9,1461.3157027447976,3.0
4.0,04-16-2020,AZ,33.7298,-111.4312,4237,150,651.186191192761,3.540240736370073
5.0,04-16-2020,AR,34.9697,-92.3731,1620,37,875.8116466147321,2.2839506172839505
6.0,04-16-2020,CA,36.1162,-119.6816,27575,955,628.4332373850444,3.459655485040798
8.0,04-16-2020,CO,39.0598,-105.3111,8286,355,715.2697645043166,4.284335022930244
9.0,04-16-2020,CT,41.5978,-72.7554,15884,971,1489.9782261568284,6.113069755729035
10.0,04-16-2020,DE,39.3185,-75.5071,2070,71,1370.9687357511675,3.429951690821256
12.0,04-16-2020,FL,27.7663,-81.6868,23343,668,1794.9330509075514,2.861671593197104
13.0,04-16-2020,GA,33.0406,-83.6431,15669,587,670.0499724194535,3.746250558427468
15.0,04-16-2020,HI,21.0943,-157.4983,530,9,1462.0853716592762,1.69811320754717
16.0,04-16-2020,ID,44.2405,-114.4788,1587,41,982.9884811955563,2.58349086326402
17.0,04-16-2020,IL,40.3495,-88.9861,25734,1072,1044.586100151393,4.165695189243802
18.0,04-16-2020,IN,39.8494,-86.2583,9542,601,781.097904429619,6.298469922448124
19.0,04-16-2020,IA,42.0115,-93.2105,2141,60,788.9074461797228,2.802428771602055
20.0,04-16-2020,KS,38.5266,-96.7265,1615,80,661.147399536106,4.953560371517028
21.0,04-16-2020,KY,37.6681,-84.6701,2435,129,827.3880518318127,5.297741273100616
22.0,04-16-2020,LA,31.1695,-91.8678,22532,1156,2753.506105585363,5.130481093555832
23.0,04-16-2020,ME,44.6939,-69.3819,796,27,1266.7737643589555,3.391959798994975
24.0,04-16-2020,MD,39.0639,-76.8021,10784,319,990.0670246587144,2.958086053412463
25.0,04-16-2020,MA,42.2302,-71.5301,32181,1108,2050.9568208267992,3.4430253876510983
26.0,04-16-2020,MI,43.3266,-84.5361,28809,1996,1183.4182872679298,6.928390433545073
27.0,04-16-2020,MN,45.6945,-93.9002,1809,87,842.5241072074779,4.8092868988391375
28.0,04-16-2020,MS,32.7416,-89.6787,3624,129,1326.8485903939134,3.5596026490066226
29.0,04-16-2020,MO,38.4561,-92.2884,5265,170,864.3805841361383,3.2288698955365622
30.0,04-16-2020,MT,46.9219,-110.4544,415,7,1147.3613345234974,1.686746987951807
31.0,04-16-2020,NE,41.1254,-98.2681,952,21,806.0201721397889,2.2058823529411766
32.0,04-16-2020,NV,38.3135,-117.0554,3214,137,943.1175885413747,4.262601120099564
33.0,04-16-2020,NH,43.4525,-71.5639,1139,32,952.6289042303844,2.809482001755926
34.0,04-16-2020,NJ,40.2989,-74.521,75317,3518,1709.3757282832275,4.670924226934158
35.0,04-16-2020,NM,34.8405,-106.2485,1484,36,2002.5990490143224,2.425876010781672
36.0,04-16-2020,NY,42.1657,-74.9481,223691,14832,3265.394600862048,6.630575213128825
37.0,04-16-2020,NC,35.6301,-79.8064,5639,150,715.0422847636212,2.660046107465863
38.0,04-16-2020,ND,47.5289,-99.784,438,9,1930.0218661055576,2.2900763358778624
39.0,04-16-2020,OH,40.3888,-82.7649,8414,504,669.7774985546624,5.990016638935108
